id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,alpha_deg,Cl,Cd,Cm,n_iter
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,2.0,0.20371,0.07863,-0.01582,1000
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,5.0,0.39927,0.12182,-0.00957,1000
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,8.0,0.55179,0.16744,0.00935,1000
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,-1.0,0.00686,0.0524,-0.01497,1000
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,-4.0,-0.09341,0.06002,-0.02313,211
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,11.0,0.67937,0.20367,0.02236,1000
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,14.0,0.82067,0.26761,0.04346,1000
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,2.0,0.16449,0.06511,-0.01042,672
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,5.0,0.33675,0.0928,-0.00175,1000
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,8.0,0.52099,0.14677,0.00524,1000
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,-1.0,0.02858,0.04953,-0.01864,1000
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,-4.0,-0.0766,0.05432,-0.02852,204
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,11.0,0.60827,0.17716,0.045,1000
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,14.0,0.73865,0.23627,0.06625,1000
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,2.0,0.17778,0.06291,-0.00811,1000
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,5.0,0.32922,0.0911,0.00652,1000
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,8.0,0.4756,0.13147,0.02387,1000
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,-1.0,0.00419,0.05183,-0.00972,1000
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,-4.0,-0.08866,0.06106,-0.0239,260
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,11.0,0.5586,0.17416,0.05464,1000
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,14.0,0.68471,0.23493,0.06979,1000
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,2.0,0.12081,0.05685,0.00565,407
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,5.0,0.2714,0.08185,0.02194,1000
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,8.0,0.41478,0.12213,0.03846,1000
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,-1.0,0.01007,0.05206,-0.01217,612
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,-4.0,-0.09197,0.05781,-0.02396,1000
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,11.0,0.59585,0.19072,0.0503,1000
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,14.0,0.71541,0.25054,0.06672,1000
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,2.0,0.13361,0.05927,0.00439,1000
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,5.0,0.31238,0.09212,0.0122,1000
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,8.0,0.46709,0.14108,0.0292,1000
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,-1.0,-0.01126,0.05455,-0.00343,1000
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,-4.0,-0.10636,0.06484,-0.01863,270
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,11.0,0.53882,0.18582,0.05849,1000
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,14.0,0.67011,0.25563,0.06956,1000
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,2.0,0.10386,0.0607,0.01273,1000
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,5.0,0.23436,0.08315,0.03091,1000
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,8.0,0.39807,0.12629,0.04435,1000
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,-1.0,0.00419,0.05411,-0.01312,1000
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,-4.0,-0.09563,0.0611,-0.02171,200
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,11.0,0.65891,0.20228,0.03306,1000
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,14.0,0.7845,0.26289,0.05365,1000
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,2.0,0.16704,0.07168,-0.01091,1000
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,5.0,0.36093,0.10592,-0.00532,1000
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,8.0,0.51904,0.14822,0.01245,1000
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,-1.0,0.02816,0.04973,-0.02106,1000
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,-4.0,-0.07169,0.05565,-0.02928,224
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,11.0,0.66479,0.18793,0.0247,1000
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,14.0,0.81058,0.24772,0.04752,1000
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,2.0,0.197,0.06051,-0.01778,1000
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,5.0,0.35128,0.08837,-0.00597,1000
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,8.0,0.50595,0.13221,0.00762,1000
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,-1.0,0.03154,0.04788,-0.01981,1000
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,-4.0,-0.06741,0.05278,-0.02997,1000
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,11.0,0.65108,0.18634,0.03828,1000
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,14.0,0.77984,0.24632,0.06014,272
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,2.0,0.1935,0.06159,-0.01235,1000
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,5.0,0.36929,0.09546,-0.0039,1000
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,8.0,0.51454,0.13554,0.01599,1000
geom_037,12.87,18.19,9.03,4.37,2.02,2.7,-1.0,0.0027,0.05737,-0.01405,220
geom_037,12.87,18.19,9.03,4.37,2.02,2.7,-4.0,-0.1024,0.06354,-0.02052,199
geom_037,12.87,18.19,9.03,4.37,2.02,2.7,11.0,0.65786,0.19855,0.02421,1000
geom_037,12.87,18.19,9.03,4.37,2.02,2.7,14.0,0.81734,0.26433,0.04343,1000
